state_fips,county_fips,fips,county_name,alt_spelling
27,001,27001,Aitkin,AITKIN
27,001,27001,Aitkin,Aitkin
27,001,27001,Aitkin,aitkin
27,003,27003,Anoka,ANOKA
27,003,27003,Anoka,Anoka
27,003,27003,Anoka,anoka
27,005,27005,Becker,BECKER
27,005,27005,Becker,Becker
27,005,27005,Becker,becker
27,007,27007,Beltrami,BELTRAMI
27,007,27007,Beltrami,Beltrami
27,007,27007,Beltrami,beltrami
27,009,27009,Benton,BENTON
27,009,27009,Benton,Benton
27,009,27009,Benton,benton
27,011,27011,Big Stone,BIG STONE
27,011,27011,Big Stone,BIGSTONE
27,011,27011,Big Stone,Big Stone
27,011,27011,Big Stone,BigStone
27,011,27011,Big Stone,big stone
27,011,27011,Big Stone,bigstone
27,013,27013,Blue Earth,BLUE EARTH
27,013,27013,Blue Earth,BLUEEARTH
27,013,27013,Blue Earth,Blue Earth
27,013,27013,Blue Earth,BlueEarth
27,013,27013,Blue Earth,blue earth
27,013,27013,Blue Earth,blueearth
27,015,27015,Brown,BROWN
27,015,27015,Brown,Brown
27,015,27015,Brown,brown
27,017,27017,Carlton,CARLTON
27,017,27017,Carlton,Carlton
27,017,27017,Carlton,carlton
27,019,27019,Carver,CARVER
27,019,27019,Carver,Carver
27,019,27019,Carver,carver
27,021,27021,Cass,CASS
27,021,27021,Cass,Cass
27,021,27021,Cass,cass
27,023,27023,Chippewa,CHIPPEWA
27,023,27023,Chippewa,Chippewa
27,023,27023,Chippewa,chippewa
27,025,27025,Chisago,CHISAGO
27,025,27025,Chisago,Chisago
27,025,27025,Chisago,chisago
27,027,27027,Clay,CLAY
27,027,27027,Clay,Clay
27,027,27027,Clay,clay
27,029,27029,Clearwater,CLEARWATER
27,029,27029,Clearwater,Clearwater
27,029,27029,Clearwater,clearwater
27,031,27031,Cook,COOK
27,031,27031,Cook,Cook
27,031,27031,Cook,cook
27,033,27033,Cottonwood,COTTONWOOD
27,033,27033,Cottonwood,Cottonwood
27,033,27033,Cottonwood,cottonwood
27,035,27035,Crow Wing,CROW WING
27,035,27035,Crow Wing,CROWWING
27,035,27035,Crow Wing,Crow Wing
27,035,27035,Crow Wing,CrowWing
27,035,27035,Crow Wing,crow wing
27,035,27035,Crow Wing,crowwing
27,037,27037,Dakota,DAKOTA
27,037,27037,Dakota,Dakota
27,037,27037,Dakota,dakota
27,039,27039,Dodge,DODGE
27,039,27039,Dodge,Dodge
27,039,27039,Dodge,dodge
27,041,27041,Douglas,DOUGLAS
27,041,27041,Douglas,Douglas
27,041,27041,Douglas,douglas
27,043,27043,Faribault,FARIBAULT
27,043,27043,Faribault,Faribault
27,043,27043,Faribault,faribault
27,045,27045,Fillmore,FILLMORE
27,045,27045,Fillmore,Fillmore
27,045,27045,Fillmore,fillmore
27,047,27047,Freeborn,FREEBORN
27,047,27047,Freeborn,Freeborn
27,047,27047,Freeborn,freeborn
27,049,27049,Goodhue,GOODHUE
27,049,27049,Goodhue,Goodhue
27,049,27049,Goodhue,goodhue
27,051,27051,Grant,GRANT
27,051,27051,Grant,Grant
27,051,27051,Grant,grant
27,053,27053,Hennepin,HENNEPIN
27,053,27053,Hennepin,Hennepin
27,053,27053,Hennepin,hennepin
27,055,27055,Houston,HOUSTON
27,055,27055,Houston,Houston
27,055,27055,Houston,houston
27,057,27057,Hubbard,HUBBARD
27,057,27057,Hubbard,Hubbard
27,057,27057,Hubbard,hubbard
27,059,27059,Isanti,ISANTI
27,059,27059,Isanti,Isanti
27,059,27059,Isanti,isanti
27,061,27061,Itasca,ITASCA
27,061,27061,Itasca,Itasca
27,061,27061,Itasca,itasca
27,063,27063,Jackson,JACKSON
27,063,27063,Jackson,Jackson
27,063,27063,Jackson,jackson
27,065,27065,Kanabec,KANABEC
27,065,27065,Kanabec,Kanabec
27,065,27065,Kanabec,kanabec
27,067,27067,Kandiyohi,KANDIYOHI
